,year,production,change
0,2000,68343.04,3.71 %
1,2001,67921.63,-0.62 %
2,2002,67050.84,-1.28 %
3,2003,69189.99,3.19 %
4,2004,72249.6,4.42 %
5,2005,73516.23,1.75 %
6,2006,73099.73,-0.57 %
7,2007,72698.83,-0.55 %
8,2008,73583.73,1.22 %
9,2009,72385.33,-1.63 %
10,2010,74166.13,2.46 %
11,2011,74281.63,0.16 %
12,2012,76047.63,2.38 %
13,2013,75996.83,-0.07 %
