Year,US Max Annual Temperature,Brazil Max Annual Temperature
2000,21.605,26.393
2001,21.907,26.506999999999998
2002,22.675,26.956
2003,22.499,26.54
2004,21.663,26.486
2005,22.478,26.794
2006,22.911,26.301
2007,22.352,26.689
2008,21.69,26.678
2009,21.463,27.151
2010,22.078000000000007,26.802
2011,22.722,26.373
2012,23.008000000000006,27.12
2013,22.074,26.239
