,Date,Number of Fires
0,2000,630036
1,2001,515265
2,2002,515327
3,2003,381596
4,2004,468610
5,2005,408065
6,2006,669091
7,2007,563505
8,2008,515701
9,2009,571906
10,2010,424966
11,2011,482359
12,2012,389901
13,2013,2512461
